date,value
2004-09-19,243.0
2004-09-26,242.5
2004-10-03,243.5
2004-10-10,243.5
2004-10-17,243.5
2004-10-24,248.5
2004-10-31,257.5
2004-11-07,262.5
2004-11-14,262.5
2004-11-21,272.5
2004-11-28,273.5
2004-12-05,273.5
2004-12-12,274.5
2004-12-19,273.5
2004-12-26,262.5
2005-01-02,190.5
2005-01-09,190.5
2005-01-16,167.5
2005-01-23,165.5
2005-01-30,176.5
2005-02-06,180.0
2005-02-13,187.5
2005-02-20,193.5
2005-02-27,206.0
2005-03-06,208.5
2005-03-13,217.5
2005-03-20,217.5
2005-03-27,227.5
2005-04-03,232.0
2005-04-10,231.0
2005-04-17,231.0
2005-04-24,231.5
2005-05-01,240.5
2005-05-08,243.5
2005-05-15,243.5
2005-05-22,246.5
2005-05-29,246.5
2005-06-05,241.5
2005-06-12,241.5
2005-06-19,227.5
2005-06-26,212.5
2005-07-03,202.5
2005-07-10,202.5
2005-07-17,202.5
2005-07-24,207.5
2005-07-31,213.5
2005-08-07,217.5
2005-08-14,222.5
2005-08-21,241.5
2005-08-28,267.5
2005-09-04,270.0
2005-09-11,287.5
2005-09-18,295.0
2005-09-25,302.5
2005-10-02,305.0
2005-10-09,305.0
2005-10-16,305.0
2005-10-23,299.5
2005-10-30,297.5
2005-11-06,300.5
2005-11-13,303.0
2005-11-20,297.5
2005-11-27,297.5
2005-12-04,292.5
2005-12-11,283.5
2005-12-18,255.0
2005-12-25,262.5
2006-01-01,262.5
2006-01-08,262.5
2006-01-15,262.5
2006-01-22,262.5
2006-01-29,262.5
2006-02-05,262.5
2006-02-12,262.5
2006-02-19,253.0
2006-02-26,265.0
2006-03-05,269.0
2006-03-12,275.0
2006-03-19,275.0
2006-03-26,262.5
2006-04-02,272.5
2006-04-09,276.0
2006-04-16,274.0
2006-04-23,273.0
2006-04-30,273.0
2006-05-07,267.5
2006-05-14,250.0
2006-05-21,217.5
2006-05-28,222.5
2006-06-04,213.0
2006-06-11,213.0
2006-06-18,207.5
2006-06-25,207.5
2006-07-02,215.0
2006-07-09,215.0
2006-07-16,212.5
2006-07-23,207.5
2006-07-30,207.5
2006-08-06,207.5
2006-08-13,210.5
2006-08-20,212.5
2006-08-27,212.5
2006-09-03,219.0
2006-09-10,219.0
2006-09-17,224.0
2006-09-24,229.0
2006-10-01,236.0
2006-10-08,241.0
2006-10-15,241.0
2006-10-22,243.5
2006-10-29,243.5
2006-11-05,243.5
2006-11-12,243.5
2006-11-19,246.0
2006-11-26,248.5
2006-12-03,273.5
2006-12-10,281.0
2006-12-17,288.5
2006-12-24,288.5
2006-12-31,288.5
2007-01-07,288.5
2007-01-14,276.5
2007-01-21,276.5
2007-01-28,276.5
2007-02-04,280.5
2007-02-11,280.5
2007-02-18,282.5
2007-02-25,282.5
2007-03-04,282.5
2007-03-11,287.5
2007-03-18,285.0
2007-03-25,285.0
2007-04-01,283.5
2007-04-08,279.0
2007-04-15,272.5
2007-04-22,267.5
2007-04-29,267.5
2007-05-06,257.5
2007-05-13,249.0
2007-05-20,245.0
2007-05-27,245.0
2007-06-03,241.0
2007-06-10,237.5
2007-06-17,232.5
2007-06-24,235.0
2007-07-01,232.5
2007-07-08,231.5
2007-07-15,232.5
2007-07-22,240.0
2007-07-29,241.0
2007-08-05,241.0
2007-08-12,241.5
2007-08-19,252.5
2007-08-26,260.0
2007-09-02,265.0
2007-09-09,270.0
2007-09-16,277.5
2007-09-23,277.5
2007-09-30,280.0
2007-10-07,273.0
2007-10-14,267.0
2007-10-21,264.0
2007-10-28,252.5
2007-11-04,253.0
2007-11-11,254.0
2007-11-18,260.0
2007-11-25,270.0
2007-12-02,295.0
2007-12-09,325.0
2007-12-16,345.0
2007-12-23,390.0
2007-12-30,390.0
2008-01-06,395.0
2008-01-13,410.0
2008-01-20,412.5
2008-01-27,447.5
2008-02-03,520.0
2008-02-10,560.0
2008-02-17,560.0
2008-02-24,560.0
2008-03-02,560.0
2008-03-09,557.5
2008-03-16,557.5
2008-03-23,557.5
2008-03-30,557.5
2008-04-06,530.0
2008-04-13,500.0
2008-04-20,490.0
2008-04-27,480.0
2008-05-04,455.0
2008-05-11,435.0
2008-05-18,435.0
2008-05-25,435.0
2008-06-01,432.5
2008-06-08,445.0
2008-06-15,445.0
2008-06-22,510.0
2008-06-29,525.0
2008-07-06,545.0
