date,target,oil,gas,coal,corn,soybean,wheat,rice,usd_eur,usd_jpy,usd_cny,usd_index,usd_rub,cpi_china,cpi_us
03/05/1987,,,,,,,,,,,,,,,113
10/05/1987,,,,,,,,,0.8559,139.73,3.7314,96.1,,,113
17/05/1987,,,,,,,,,0.8501,139.58,3.7314,95.62,,,113
24/05/1987,,,,,,,,,0.8513,140.83,3.7314,96.03,,,113
31/05/1987,,,,,,,,,0.87,143.88,3.7314,97.89,,,113
07/06/1987,,,,,,,,,0.8663,143.88,3.7314,97.71,,,113.5
14/06/1987,,,,,,,,,0.8628,143.88,3.7314,97.27,,,113.5
21/06/1987,,,,,,,,,0.873,144.73,3.7314,98.61,,,113.5
28/06/1987,,,,,,,,,0.8715,146.32,3.7314,98.63,,,113.5
05/07/1987,,,,,,,,,0.8778,148.79,3.7314,98.91,,,113.8
12/07/1987,,,,,,,,,0.88,150.74,3.7314,99.65,,,113.8
19/07/1987,,,,,,,,,0.8847,152.91,3.7314,100.3,,,113.8
26/07/1987,,,,,,,,,0.8841,149.4,3.7314,99.78,,,113.8
02/08/1987,,,,,,,,,0.886,149.98,3.7314,100.04,,,114.3
09/08/1987,,,,,,,,,0.9019,151.74,3.7314,101.52,,,114.3
16/08/1987,,,,,,,,,0.8938,149.98,3.7314,100.72,,,114.3
23/08/1987,,,,,,,,,0.8672,142.15,3.7314,97.44,,,114.3
30/08/1987,,,,,,,,,0.8649,141.8,3.7314,97.21,,,114.3
06/09/1987,,,,,,,,,0.8563,141.9,3.7314,96.5,,,114.7
13/09/1987,,,,,,,,,0.8564,143.81,3.7314,97.06,,,114.7
20/09/1987,,,,,,,,,0.8596,142.47,3.7314,97.09,,,114.7
27/09/1987,,,,,,,,,0.8669,143.37,3.7314,97.85,,,114.7
04/10/1987,,,,,,,,,0.8781,146.88,3.7314,99.03,,,115
11/10/1987,,,,,,,,,0.864,143.6,3.7314,97.06,,,115
18/10/1987,,,,,,,,,0.8568,142.34,3.7314,96.53,,,115
25/10/1987,,,,,,,,,0.8575,141.54,3.7314,95.84,,,115
01/11/1987,,,,,,,,,0.8291,138.3,3.7314,93.78,,,115.4
08/11/1987,,,,,,,,,0.8037,134.79,3.7314,91.14,,,115.4
15/11/1987,,,,,,,,,0.8123,135.56,3.7314,91.73,,,115.4
22/11/1987,,,,,,,,,0.8046,135.4,3.7314,91.29,,,115.4
29/11/1987,,,,,,,,,0.7967,133.29,3.7314,90.05,,,115.4
06/12/1987,,,,,,,,,0.8006,132.46,3.7314,90.47,,,115.6
13/12/1987,,,,,,,,,0.7855,128.25,3.7314,88.49,,,115.6
20/12/1987,,,,,,,,,0.7825,126.95,3.7314,88.81,,,115.6
27/12/1987,,,,,,,,,0.7817,125.12,3.7314,88.36,,,115.6
03/01/1988,,,,,,,,,0.7548,121.01,3.7314,85.66,,,116
10/01/1988,,,,,,,,,0.7926,128.32,3.7314,89.25,,,116
17/01/1988,,,,,,,,,0.8052,131.02,3.7314,91.44,,,116
24/01/1988,,,,,,,,,0.8024,127.19,3.7314,89.84,,,116
31/01/1988,,,,,,,,,0.8041,127.97,3.7314,90.48,,,116
07/02/1988,,,,,,,,,0.8132,129.34,3.7314,91.3,,,116.2
14/02/1988,,,,,,,,,0.8205,130.98,3.7314,92.03,,,116.2
21/02/1988,,,,,,,,,0.8179,130.18,3.7314,91.61,,,116.2
28/02/1988,,,,,,,,,0.8103,128.34,3.7314,90.57,,,116.2
06/03/1988,,,,,,,,,0.8116,128.58,3.7314,90.61,,,116.5
13/03/1988,,,,,,,,,0.7988,127.25,3.7314,88.94,,,116.5
20/03/1988,,,,,,,,,0.8136,127.88,3.7314,90.81,,,116.5
27/03/1988,,,,,,,,,0.8054,125.07,3.7314,89.53,,,116.5
03/04/1988,,,,,,,,,0.7954,123.89,3.7314,88.47,,,117.2
