,value
2004-07-04,252.5
2004-07-11,252.5
2004-07-18,252.5
2004-07-25,251.0
2004-08-01,255.0
2004-08-08,254.5
2004-08-15,252.5
2004-08-22,247.0
2004-08-29,247.0
2004-09-05,252.0
2004-09-12,251.0
2004-09-19,251.0
2004-09-26,251.0
2004-10-03,248.5
2004-10-10,248.5
2004-10-17,249.5
2004-10-24,259.0
2004-10-31,264.0
2004-11-07,264.0
2004-11-14,269.0
2004-11-21,272.5
2004-11-28,276.0
2004-12-05,276.5
2004-12-12,276.0
2004-12-19,276.0
2004-12-26,270.0
2005-01-02,
2005-01-09,
2005-01-16,237.5
2005-01-23,175.5
2005-01-30,172.5
2005-02-06,182.0
2005-02-13,190.0
2005-02-20,197.5
2005-02-27,197.5
2005-03-06,211.0
2005-03-13,213.5
2005-03-20,223.0
2005-03-27,223.0
2005-04-03,234.0
2005-04-10,239.0
2005-04-17,235.0
2005-04-24,235.0
2005-05-01,235.0
2005-05-08,245.0
2005-05-15,246.5
2005-05-22,246.5
2005-05-29,251.0
2005-06-05,248.5
2005-06-12,248.5
2005-06-19,
2005-06-26,234.0
2005-07-03,222.5
2005-07-10,211.0
2005-07-17,212.5
2005-07-24,210.0
2005-07-31,207.5
2005-08-07,212.5
2005-08-14,217.5
2005-08-21,217.5
2005-08-28,235.0
2005-09-04,242.5
2005-09-11,265.0
2005-09-18,277.5
2005-09-25,287.5
2005-10-02,297.5
2005-10-09,298.5
2005-10-16,298.5
2005-10-23,298.5
2005-10-30,298.5
2005-11-06,295.0
2005-11-13,292.5
2005-11-20,292.5
2005-11-27,295.0
2005-12-04,295.0
2005-12-11,292.5
2005-12-18,292.5
2005-12-25,282.5
2006-01-01,282.5
2006-01-08,
2006-01-15,282.5
2006-01-22,264.5
2006-01-29,263.5
2006-02-05,263.5
2006-02-12,263.5
2006-02-19,263.5
2006-02-26,263.5
2006-03-05,263.5
2006-03-12,263.5
2006-03-19,267.5
2006-03-26,267.5
2006-04-02,267.5
2006-04-09,277.5
2006-04-16,284.0
2006-04-23,280.0
2006-04-30,280.0
2006-05-07,275.0
2006-05-14,275.0
2006-05-21,275.0
2006-05-28,232.5
2006-06-04,227.5
2006-06-11,226.0
2006-06-18,
2006-06-25,226.0
2006-07-02,232.5
2006-07-09,232.5
2006-07-16,232.5
2006-07-23,227.5
2006-07-30,221.5
2006-08-06,216.0
2006-08-13,216.0
2006-08-20,218.5
2006-08-27,218.5
2006-09-03,222.5
2006-09-10,222.5
2006-09-17,226.0
2006-09-24,226.0
2006-10-01,231.5
2006-10-08,231.5
2006-10-15,242.0
2006-10-22,242.0
2006-10-29,251.5
2006-11-05,251.5
2006-11-12,250.5
2006-11-19,250.5
2006-11-26,252.0
2006-12-03,252.5
2006-12-10,267.5
2006-12-17,267.5
2006-12-24,270.0
2006-12-31,293.5
2007-01-07,
2007-01-14,293.5
2007-01-21,293.5
2007-01-28,287.5
2007-02-04,286.5
2007-02-11,282.5
2007-02-18,282.5
2007-02-25,282.5
2007-03-04,282.5
2007-03-11,282.5
2007-03-18,282.0
2007-03-25,286.5
2007-04-01,286.5
2007-04-08,287.0
2007-04-15,283.0
2007-04-22,277.5
2007-04-29,272.5
2007-05-06,272.5
2007-05-13,262.5
2007-05-20,257.5
2007-05-27,257.5
2007-06-03,
2007-06-10,252.5
2007-06-17,250.0
2007-06-24,245.0
2007-07-01,244.5
2007-07-08,241.5
2007-07-15,241.0
2007-07-22,237.5
2007-07-29,247.0
2007-08-05,247.0
2007-08-12,247.0
2007-08-19,247.0
2007-08-26,259.5
2007-09-02,266.0
2007-09-09,266.0
2007-09-16,266.0
2007-09-23,266.0
2007-09-30,266.0
2007-10-07,267.5
2007-10-14,267.5
2007-10-21,267.5
2007-10-28,267.5
2007-11-04,267.5
2007-11-11,255.0
2007-11-18,255.0
2007-11-25,255.0
2007-12-02,255.0
2007-12-09,272.5
2007-12-16,290.0
2007-12-23,290.0
2007-12-30,360.0
2008-01-06,
2008-01-13,397.5
2008-01-20,400.0
2008-01-27,400.0
2008-02-03,425.0
2008-02-10,445.0
2008-02-17,510.0
2008-02-24,530.0
2008-03-02,570.0
2008-03-09,570.0
2008-03-16,570.0
2008-03-23,570.0
2008-03-30,570.0
2008-04-06,570.0
2008-04-13,570.0
2008-04-20,510.0
2008-04-27,510.0
2008-05-04,510.0
2008-05-11,480.0
2008-05-18,450.0
2008-05-25,450.0
2008-06-01,
2008-06-08,442.5
2008-06-15,457.5
2008-06-22,465.0
2008-06-29,530.0
2008-07-06,535.0
2008-07-13,555.0
2008-07-20,560.0
2008-07-27,670.0
2008-08-03,670.0
2008-08-10,742.5
2008-08-17,795.0
2008-08-24,815.0
2008-08-31,845.0
2008-09-07,895.0
2008-09-14,895.0
2008-09-21,895.0
2008-09-28,890.0
2008-10-05,870.0
2008-10-12,840.0
2008-10-19,820.0
2008-10-26,780.0
2008-11-02,510.0
2008-11-09,510.0
2008-11-16,315.0
2008-11-23,260.0
2008-11-30,255.0
2008-12-07,255.0
2008-12-14,195.0
2008-12-21,145.0
2008-12-28,145.0
2009-01-04,
2009-01-11,145.0
2009-01-18,145.0
