Год;Квартал;Месяц;brent;gas;eur_usd;cny_usd;inr_usd;jpy_usd;gbr_usd;chf_usd;brl_usd;idr_usd;ff_rate
2000;1;1;25,38;3,36;1,013609524;0,12078434;0,022243451;0,949538799;1,640095238;0,6295;0,554614286;0,000137456;5,45
2000;1;2;27,7048;3,46;0,984514286;0,120800806;0,022339653;0,913322054;1,601461905;0,612571429;0,56327619;0,000134537;5,73
2000;1;3;27,47;3,51;0,965026087;0,120793942;0,022482895;0,940341532;1,581504348;0,601582609;0,574004348;0,000133953;5,85
2000;2;4;22,54;3,68;0,945325;0,120783377;0,022347401;0,946391847;1,58122;0,60119;0,565205;0,000128394;6,02
2000;2;5;27,34;3,55;0,90846087;0,120801494;0,022323287;0,924373862;1,50906087;0,583104348;0,54766087;0,000119977;6,27
2000;2;6;29,6773;3,6;0,94995;0,120813802;0,022223504;0,942055996;1,510668182;0,608895455;0,552886364;0,000116174;6,53
2000;3;7;28,53;3,96;0,939590476;0,120782602;0,022321554;0,925796936;1,508704762;0,60597619;0,556504762;0,000109276;6,54
2000;3;8;29,43;4,01;0,904430435;0,120779226;0,02222225;0,925478291;1,489026087;0,583204348;0,552813043;0,000118567;6,5
2000;3;9;32,621;4,03;0,871009524;0,12079365;0,022313826;0,936296024;1,434590476;0,569514286;0,54432381;0,000115896;6,52
2000;4;10;30,9323;4,31;0,853518182;0,120795029;0,022414671;0,922464577;1,451254545;0,564195455;0,532254545;0,000111892;6,51
2000;4;11;32,52409091;4,39;0,855590909;0,120810883;0,022288436;0,917796754;1,425554545;0,562781818;0,513140909;0,000106949;6,51
2000;4;12;25,1255;4,44;0,901504762;0,120814706;0,022285678;0,891165683;1,466357143;0,595771429;0,509704762;0,000105957;6,4
2001;1;1;25,63636364;4,65;0,938543478;0,120808429;0,021225816;0,85578063;1,477345455;0,613640909;0,511390909;0,000105587;5,98
2001;1;2;27,406;4,59;0,92123;0,120816211;0,02126676;0,860439138;1,45254;0,599685;0,498075;0,000103669;5,49
2001;1;3;24,39545455;4,57;0,908740909;0,120808959;0,021206461;0,82344682;1,444109091;0,591709091;0,478113636;9,79481E-05;5,31
2001;2;4;25,641;4,48;0,89342381;0,120815192;0,02120482;0,80862983;1,436;0,584280952;0,456047619;9,03481E-05;4,8
2001;2;5;28,45047619;4,36;0,874891304;0,120813358;0,021218709;0,821736807;1,427213043;0,570565217;0,436082609;8,87235E-05;4,21
2001;2;6;27,72428571;4,33;0,853766667;0,120816165;0,021246658;0,817150689;1,402719048;0,560480952;0,420838095;8,83966E-05;3,97
2001;3;7;24,53818182;3,75;0,861913636;0,120818313;0,021232697;0,803386768;1,415554545;0,569445455;0,404972727;9,22763E-05;3,77
2001;3;8;25,69782609;3,79;0,902556522;0,120817165;0,021245739;0,824420239;1,438013043;0,595543478;0,39806087;0,000111687;3,65
2001;3;9;25,544;3,79;0,91257;0,120819349;0,021264916;0,842805935;1,465245;0,612365;0,375425;0,00010764;3,07
2001;4;10;20,47826087;3,52;0,906182609;0,120819577;0,021197498;0,824157296;1,452013043;0,612156522;0,365082609;9,92599E-05;2,49
2001;4;11;18,94227273;3,46;0,888222727;0,120818513;0,021191461;0,817133094;1,435822727;0,606054545;0,393295455;9,47134E-05;2,09
2001;4;12;18,60473684;3,4;0,891342857;0,120819084;0,021196455;0,783424949;1,442419048;0,603709524;0,423919048;9,74789E-05;1,82
2002;1;1;19,485;3,06;0,88326087;0,120821631;0,02056541;0,753304461;1,432181818;0,598690909;0,42035;9,62581E-05;1,73
2002;1;2;20,2915;3,03;0,87067;0,120821319;0,020594716;0,749020157;1,423415;0,589295;0,41307;9,77559E-05;1,74
2002;1;3;23,6905;2,97;0,876771429;0,120815609;0,020574322;0,762800898;1,423628571;0,597380952;0,426590476;0,000100956;1,73
2002;2;4;25,65409091;2,81;0,88665;0,120813735;0,020600537;0,764599335;1,443445455;0,604972727;0,431081818;0,000105357;1,75
2002;2;5;25,38727273;2,83;0,917869565;0,120816848;0,020570982;0,791870276;1,460213043;0,630247826;0,403721739;0,000109756;1,75
2002;2;6;24,12789474;2,9;0,95692;0,120815991;0,020570346;0,811573747;1,485555;0,650205;0,36822;0,000114823;1,75
2002;3;7;25,76782609;2,95;0,992834783;0,120819704;0,02057573;0,847584865;1,5576;0,679282609;0,340556522;0,000111518;1,73
2002;3;8;26,63285714;3,01;0,97805;0,120820835;0,020577127;0,840119267;1,537422727;0,668195455;0,323063636;0,000112056;1,74
2002;3;9;28,34238095;3,08;0,98102381;0,12081693;0,02059637;0,827707727;1,556242857;0,669852381;0,300542857;0,000111663;1,75
2002;4;10;27,54869565;3,28;0,981686957;0,12081615;0,020570527;0,806848713;1,557534783;0,670147826;0,263747826;0,000109394;1,75
2002;4;11;24,1847619;3,34;1,00197619;0,120815331;0,020598391;0,82305174;1,571928571;0,682747619;0,278709524;0,000110331;1,34
2002;4;12;28,52095238;3,36;1,021618182;0,120809888;0,020577634;0,821452356;1,588581818;0,697359091;0,275990909;0,000112094;1,24
2003;1;1;31,24666667;3,61;1,062917391;0,120814056;0,021485923;0,842077459;1,618082609;0,727368182;0,291395455;0,000112465;1,24
2003;1;2;32,6485;3,67;1,077735;0,120807526;0,02144309;0,837737133;1,60778;0,734755;0,278305;0,000112434;1,26
2003;1;3;30,33904762;3,74;1,079595238;0,120812829;0,021461835;0,842229069;1,583071429;0,73477619;0,290014286;0,000112087;1,25
