iter	RMSE
0	2472.306582
1	2360.676802
2	2322.403181
3	2264.973485
4	2229.707759
5	2204.297124
6	2194.544367
7	2176.013021
8	2153.963104
9	2137.321178
10	2123.04635
11	2097.614073
12	2079.816468
13	2077.794366
14	2060.467678
15	2043.13162
16	2023.206772
17	2015.634772
18	2000.785633
19	1996.056845
20	1990.315735
21	1965.769807
22	1953.212467
23	1936.41165
24	1929.606096
25	1919.435139
26	1900.188432
27	1879.661649
28	1862.536822
29	1854.859619
30	1843.58312
31	1842.61914
32	1841.022357
33	1837.499092
34	1829.405736
35	1825.403732
36	1817.751645
37	1814.545567
38	1805.999728
39	1790.63909
40	1782.646286
41	1773.60653
42	1773.251393
43	1768.337935
44	1757.128095
45	1756.683093
46	1748.17218
47	1736.628835
48	1735.935863
49	1729.620841
